timestamp,hum_air,temperature,lumiere
2026-04-23 17:37:03,15.0,34.6,507
2026-04-23 17:37:05,15.0,34.6,504
2026-04-23 17:37:07,15.0,34.6,512
2026-04-23 17:37:09,14.0,34.6,517
2026-04-23 17:37:11,14.0,34.6,517
2026-04-23 17:37:13,14.0,34.6,514
2026-04-23 17:37:15,14.0,34.6,512
2026-04-23 17:37:17,15.0,34.6,510
2026-04-23 17:37:19,15.0,34.6,514
2026-04-23 17:37:21,15.0,34.6,515
2026-04-23 17:37:23,15.0,34.6,515
2026-04-23 17:37:25,15.0,34.6,514
2026-04-23 17:37:27,15.0,34.6,509
2026-04-23 17:37:29,15.0,34.6,505
2026-04-23 17:37:31,15.0,34.6,503
2026-04-23 17:37:34,15.0,34.6,514
2026-04-23 17:37:36,15.0,34.6,502
2026-04-23 17:37:38,15.0,34.6,514
2026-04-23 17:37:40,15.0,34.6,506
2026-04-23 17:37:42,15.0,34.6,501
2026-04-23 17:37:44,15.0,34.6,513
2026-04-23 17:37:46,15.0,34.6,499
2026-04-23 17:37:48,15.0,34.6,504
2026-04-23 17:37:50,15.0,34.6,510
2026-04-23 17:37:52,15.0,34.6,513
2026-04-23 17:37:54,15.0,34.6,502
2026-04-23 17:37:56,15.0,34.6,503
2026-04-23 17:37:58,15.0,34.6,502
2026-04-23 17:38:00,15.0,34.6,499
2026-04-23 17:38:02,15.0,34.6,494
2026-04-23 17:38:04,15.0,34.6,493
2026-04-23 17:38:06,15.0,34.6,487
2026-04-23 17:38:08,15.0,34.6,493
2026-04-23 17:38:10,15.0,34.6,495
2026-04-23 17:38:12,15.0,34.6,501
2026-04-23 17:38:14,14.0,34.6,506
2026-04-23 17:38:16,14.0,34.6,509
2026-04-23 17:38:18,14.0,34.6,508
2026-04-23 17:38:20,14.0,34.6,506
2026-04-23 17:38:22,14.0,34.6,510
2026-04-23 17:38:24,14.0,34.6,504
2026-04-23 17:38:26,14.0,34.6,502
2026-04-23 17:38:28,14.0,34.6,498
2026-04-23 17:38:32,14.0,34.6,471
2026-04-23 17:38:34,14.0,34.6,476
